word,count
thou,907
things,604
unto,480
man,412
thy,389
one,372
thee,343
nature,291
doth,280
either,270
good,232
thyself,223
must,222
whatsoever,196
also,180
life,179
world,178
shall,175
upon,167
mind,167
may,165
men,157
many,155
time,154
hath,153
part,140
art,135
anything,131
thing,129
another,126
yet,124
true,120
let,120
shalt,119
common,118
much,116
nothing,113
neither,111
every,110
reason,107
well,106
without,106
use,105
hast,105
ever,99
gutenberg,98
even,97
proper,97
kind,97
project,94
according,94
soul,93
therefore,93
death,92
first,90
gods,90
consider,90
whole,89
end,87
power,87
happen,86
make,84
say,84
live,83
though,82
matter,82
work,80
present,80
would,79
natural,78
long,77
see,76
think,76
body,75
whether,74
made,72
universe,72
dost,72
thine,71
done,70
like,70
us,70
never,70
particular,70
better,69
others,69
marcus,67
c,65
little,64
indeed,63
book,61
great,61
within,61
cannot,60
way,60
god,59
always,59
general,58
take,58
reasonable,58
